1;0;1;0;2;2;1;0;0;1;SenRefSeqVer
2;1;0;1;4;0;0;1;0;1;IntAtiGloVer
3;2;1;0;4;0;0;0;0;1;SenAtiGloVer
4;3;0;1;2;0;2;0;0;1;IntAtiSeqVer
5;4;1;1;2;0;0;0;2;1;SenAtiSeqVis
6;5;0;1;1;3;0;0;1;1;IntRefSeqVis
7;6;1;0;2;2;1;0;1;2;SenAtiSeqVer
8;7;0;1;2;0;2;0;1;0;IntAtiSeqVis
9;8;0;1;4;0;1;1;2;0;IntAtiGloVis
10;9;2;0;4;0;2;0;1;0;SenAtiSeqVis
11;10;0;1;2;4;1;1;0;2;IntRefSeqVer
12;11;0;1;0;3;1;1;2;1;IntRefGloVis
13;12;1;0;0;4;0;0;2;0;SenRefGloVis
14;13;0;1;2;1;0;0;2;1;IntAtiGloVis
15;14;1;1;1;2;1;0;1;1;IntRefSeqVer
16;15;0;1;2;1;0;1;1;2;IntAtiGloVer
17;16;0;0;1;4;2;0;0;2;SenRefSeqVer
18;17;2;0;4;2;2;0;1;2;SenAtiSeqVer
19;18;0;0;0;0;2;0;2;0;IntRefSeqVis
20;19;2;0;3;1;1;0;0;2;SenAtiSeqVer
21;20;0;1;2;4;0;0;0;2;IntRefGloVer
22;21;2;0;2;0;2;0;1;0;SenAtiSeqVis
23;22;1;0;0;4;0;0;1;1;SenRefSeqVis
24;23;0;1;4;2;1;1;2;0;IntAtiGloVis
25;24;0;0;0;3;0;1;0;2;SenRefGloVer
26;25;1;1;0;4;2;0;2;1;IntRefSeqVis
27;26;1;0;1;3;0;0;1;1;SenRefGloVer
28;27;0;1;3;1;1;1;0;1;IntAtiGloVer
29;28;2;0;4;0;1;0;2;1;SenAtiSeqVis
30;29;0;1;1;0;0;1;2;1;IntAtiGloVis
31;30;0;0;1;2;1;1;1;0;IntRefGloVis
32;31;1;1;3;0;0;1;1;2;IntAtiGloVer
33;32;1;0;1;0;0;0;0;0;SenAtiGloVer
34;33;1;1;2;3;1;0;1;2;IntRefSeqVer
35;34;1;0;2;4;1;1;1;1;SenRefGloVer
36;35;1;1;0;1;0;1;0;0;SenRefGloVis
37;36;1;1;3;1;1;1;2;1;SenAtiSeqVis
38;37;1;1;0;3;2;0;2;1;SenRefSeqVis
39;38;1;1;2;3;1;1;0;1;SenRefSeqVer
40;39;2;0;0;4;2;0;2;0;SenRefSeqVis
41;40;0;0;2;1;0;1;1;1;SenAtiGloVis
42;41;1;0;2;3;0;1;1;2;SenRefGloVer
43;42;2;0;2;4;1;1;1;0;SenRefGloVis
44;43;0;1;2;0;2;0;2;1;IntAtiSeqVis
45;44;2;0;4;1;2;0;2;1;SenAtiSeqVis
46;45;2;0;3;3;0;0;2;1;SenRefGloVis
47;46;1;1;0;0;1;1;1;0;SenAtiSeqVis
48;47;1;1;1;3;1;0;0;1;IntRefSeqVer
49;48;0;1;3;1;1;1;2;0;IntAtiGloVis
50;49;2;0;0;0;0;1;1;1;SenAtiGloVis
51;50;1;0;1;3;1;0;1;1;SenRefSeqVis
52;51;0;0;3;1;2;0;1;0;IntAtiSeqVis
53;52;1;1;3;3;1;0;1;2;SenAtiSeqVer
54;53;1;1;3;3;0;0;1;0;SenAtiSeqVis
55;54;2;0;0;3;0;0;2;0;SenRefGloVis
56;55;0;1;0;4;0;1;1;0;IntRefGloVis
57;56;1;1;4;1;0;0;0;0;SenAtiSeqVis
58;57;1;1;0;2;0;1;0;2;SenRefGloVer
59;58;2;0;4;0;1;1;2;1;SenAtiGloVis
60;59;0;1;4;0;0;0;1;2;IntAtiGloVer
61;60;1;0;0;0;2;0;1;2;SenRefSeqVer
62;61;0;0;0;3;1;1;2;0;IntRefGloVis
63;62;0;0;1;2;1;1;2;1;IntRefGloVis
64;63;1;1;0;3;0;1;2;0;SenRefGloVis
65;64;1;0;2;1;1;1;2;1;SenAtiSeqVis
66;65;1;1;2;0;2;0;2;0;IntAtiSeqVis
67;66;2;0;0;2;0;1;2;0;SenRefGloVis
68;67;0;1;1;3;0;1;2;1;IntRefGloVis
